typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","31999007995","30714059053","31999007995","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","231","ETH","Ethiopia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","104369","97065","104369","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1442308404","1374934204","1442308404","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","364","IRN","Iran","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3563513","3282020","3563513","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","643","RUS","Russian Federation","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2357545611","2220842892","2357545611","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1970945470","1906560455","1970945470","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","699","IND","India","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4481208770","4289518693","4481208770","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","677605717","644616812","677605717","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","491201505","461932000","491201505","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","818","EGY","Egypt","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","116503576","108146150","116503576","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"35155353691","35155353691","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","231","ETH","Ethiopia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"21962083","21962083","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2186577863","2186577863","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","364","IRN","Iran","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1666185295","1666185295","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2463242914","2463242914","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2750066382","2750066382","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","699","IND","India","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"3617195206","3617195206","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","710","ZAF","South Africa","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1353281612","1353281612","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2503154435","2503154435","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","818","EGY","Egypt","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2055849447","2055849447","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","24414045617","23349925863","24414045617","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","231","ETH","Ethiopia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","58471","53502","58471","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1283109225","1225352249","1283109225","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","364","IRN","Iran","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","82645517","78496642","82645517","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","643","RUS","Russian Federation","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2143694108","2020634544","2143694108","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1348509486","1300618642","1348509486","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","699","IND","India","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2573361561","2482209392","2573361561","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","355810737","336283123","355810737","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","391624788","366277406","391624788","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","M","Import","818","EGY","Egypt","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","100827408","94435153","100827408","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"35133314867","35133314867","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","231","ETH","Ethiopia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"13647333","13647333","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2211031256","2211031256","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","364","IRN","Iran","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2232512050","2232512050","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2299894613","2299894613","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","682","SAU","Saudi Arabia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2487253111","2487253111","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","699","IND","India","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"3161432097","3161432097","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","710","ZAF","South Africa","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1397021495","1397021495","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2235068415","2235068415","4","false","true",
"C","A","20160101","2016","52","2016","76","BRA","Brazil","X","Export","818","EGY","Egypt","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1772017724","1772017724","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","29094836692","27553977676","29094836692","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","231","ETH","Ethiopia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","338960","330137","338960","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1445295478","1377293119","1445295478","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","364","IRN","Iran","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","43877565","40900733","43877565","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","643","RUS","Russian Federation","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2850168384","2665817852","2850168384","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1942597416","1882332123","1942597416","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","699","IND","India","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3118728509","2984915255","3118728509","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","513238937","490144016","513238937","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","784","ARE","United Arab Emirates","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","200856580","186951032","200856580","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","M","Import","818","EGY","Egypt","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","169102773","155477370","169102773","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"47488449966","47488449966","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","231","ETH","Ethiopia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"30259497","30259497","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","360","IDN","Indonesia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1782634968","1782634968","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","364","IRN","Iran","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2559657029","2559657029","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","643","RUS","Russian Federation","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2736531853","2736531853","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2656719990","2656719990","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","699","IND","India","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"4657327590","4657327590","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","710","ZAF","South Africa","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1509611624","1509611624","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","784","ARE","United Arab Emirates","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2508052810","2508052810","4","false","true",
"C","A","20170101","2017","52","2017","76","BRA","Brazil","X","Export","818","EGY","Egypt","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2417986425","2417986425","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","36715527802","35157234634","36715527802","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","231","ETH","Ethiopia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","63781","59475","63781","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1423687853","1356221893","1423687853","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","364","IRN","Iran","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","42262521","39916882","42262521","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","643","RUS","Russian Federation","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","3647390744","3403255124","3647390744","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2387190422","2318572298","2387190422","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","699","IND","India","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4033284908","3867821907","4033284908","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","686121883","664032724","686121883","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","784","ARE","United Arab Emirates","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","592067248","561532769","592067248","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","M","Import","818","EGY","Egypt","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","296479055","269477485","296479055","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"63929563241","63929563241","4","false","true",
"C","A","20180101","2018","52","2018","76","BRA","Brazil","X","Export","231","ETH","Ethiopia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"25792370","25792370","4","false","true",
